
A,I really Love Broccoli,2025-11-25T10:32:14.219934500
A,I really Love Broccoli,2025-11-25T10:32:16.743865400
B,I like Broccoli,2025-11-25T10:32:19.630897800
A,I really Love Broccoli,2025-11-25T10:32:39.370195900
A,I really Love Broccoli,2025-11-25T10:33:05.202288500
A,I really Love Broccoli,2025-11-25T10:33:17.758937200
A,I really Love Broccoli,2025-11-25T10:33:22.823260
A,I really Love Broccoli,2025-11-25T10:33:37.732782
A,I really Love Broccoli,2025-11-25T10:33:56.749907400
B,I like Broccoli,2025-11-25T10:34:07.081168400
B,I like Broccoli,2025-11-25T10:34:07.422174700
B,I like Broccoli,2025-11-25T10:44:04.604847200
A,I really Love Broccoli,2025-11-25T10:44:06.446945700
A,I really Love Broccoli,2025-11-25T10:44:06.819438700
A,I really Love Broccoli,2025-11-25T10:45:54.385892400
B,I like Broccoli,2025-11-25T10:45:55.144843
A,I really Love Broccoli,2025-11-25T10:45:56.045876900
B,I like Broccoli,2025-11-25T10:45:56.639607400
B,I like Broccoli,2025-11-25T10:46:01.140934300
A,I really Love Broccoli,2025-11-25T10:46:02.282900
B,I like Broccoli,2025-11-25T10:46:02.994326400
A,I really Love Broccoli,2025-11-25T10:46:03.560934600
A,I really Love Broccoli,2025-11-25T10:56:56.863491800
A,I really Love Broccoli,2025-11-25T10:56:57.432163800
B,I like Broccoli,2025-11-25T10:56:57.964593800
A,I really Love Broccoli,2025-11-26T10:29:02.811041400
A,I really Love Broccoli,2025-11-26T10:29:09.453955300
B,I like Broccoli,2025-11-26T10:29:15.006790100
A,I really Love Broccoli,2025-11-26T10:29:16.679127500
A,I really Love Broccoli,2025-11-26T10:29:31.946218900
A,I really Love Broccoli,2025-11-26T10:29:43.638889500
